Total open tickets fetched: 1454

========================================================================
  CORRECTED OPEN TICKET BREAKDOWN  (Total: 1454, last 30 days)
  Classified using CUSTOMER messages only — not Sage menu display text
========================================================================
  Category                             Action       Total  Repeated
  ----------------------------------------------------------------
  Lost and Found                       MANUAL          57        36
  Driver Behaviour Issue               MANUAL          93        82
  Payment / Refund / Invoice           REVIEW          62        15
  Reschedule / Cancellation            REVIEW          21         7
  App / Booking Issue                  REVIEW          85        26
  Other / Unclear                      REVIEW          29         1
  AC Issue                             AUTO-CLOSE      64        43
  Seat / Hardware Issue                AUTO-CLOSE      88        71
  Bus Quality / Hygiene                AUTO-CLOSE     193       156
  Tracking Issue                       AUTO-CLOSE      87        49
  Route / Timing Suggestion            AUTO-CLOSE     237        50
  No Issue Stated (Dropped Off)        AUTO-CLOSE     438       116
  ----------------------------------------------------------------
  TOTAL                                              1454

  AUTO-CLOSE now  : 1107 tickets (76.1%)
  REVIEW needed   : 197 tickets (13.5%)
  MANUAL required : 150 tickets (10.3%)
========================================================================

  i have a payment related issue 10:23 am ...      Open      26 Mar, 26     #12009075
  i have a payment related issue 10:21 am ...      Open      26 Mar, 26     #12009071
  i have a payment related issue 9:49 am i...      Open      26 Mar, 26     #12008814
  i had a payment related issue 9:49 am i ... [R]  Open      26 Mar, 26     #12008806
  i have a payment related issue 9:10 am m...      Open      26 Mar, 26     #12008429
  i had a payment related issue 9:07 am i ... [R]  Open      26 Mar, 26     #12008396
  i had a payment related issue 8:37 am i ... [R]  Open      26 Mar, 26     #12007973
  i had a payment related issue 8:00 am i ... [R]  Open      26 Mar, 26     #12007376
  i have a payment related issue 7:49 am i...      Open      26 Mar, 26     #12007118
  i had a payment related issue 7:47 am my... [R]  Open      26 Mar, 26     #12007088
  i have a payment related issue 7:38 am i...      Open      26 Mar, 26     #12006914
  i have a payment related issue 7:24 am i...      Open      26 Mar, 26     #12006603
  i have a payment related issue 5:53 am m...      Open      26 Mar, 26     #12005595
  i have a payment related issue 12:42 am ...      Open      25 Mar, 26     #12005243
  i have a payment related issue 10:48 pm ...      Open      25 Mar, 26     #12004310
  i had a payment related issue 10:03 pm i... [R]  Open      25 Mar, 26     #12003637
  suggestions: route, timing, stop 10:01 p... [R]  Open      25 Mar, 26     #12003585
  i have a payment related issue 9:46 pm i...      Open      25 Mar, 26     #12003375
  i have a payment related issue 8:39 pm m...      Open      25 Mar, 26     #12002602
  i have a payment related issue 8:28 pm m...      Open      25 Mar, 26     #12002489
  i had a payment related issue 7:59 pm my...      Open      25 Mar, 26     #12002160
  i have a payment related issue 7:39 pm m...      Open      25 Mar, 26     #12001931
  i have a payment related issue 7:17 pm m...      Open      25 Mar, 26     #12001625
  i have a payment related issue 7:04 pm i...      Open      25 Mar, 26     #12001424
  i have a payment related issue 6:44 pm i...      Open      25 Mar, 26     #12001115
  i have a payment related issue 6:41 pm i... [R]  Open      25 Mar, 26     #12001069
  i have a payment related issue 6:22 pm i...      Open      25 Mar, 26     #12000732
  i have a payment related issue 6:21 pm m...      Open      25 Mar, 26     #12000710
  i have a payment related issue 6:05 pm m...      Open      25 Mar, 26     #12000385
  i have a payment related issue 5:49 pm i...      Open      25 Mar, 26     #12000046
  i have a payment related issue 5:23 pm m...      Open      25 Mar, 26     #11999477
  i have a payment related issue 4:15 pm i...      Open      25 Mar, 26     #11998080
  i have a payment related issue 1:23 pm p...      Open      25 Mar, 26     #11996147
  i have a payment related issue 10:44 am ...      Open      25 Mar, 26     #11994953
  main menu 8:51 am i have a payment relat...      Open      25 Mar, 26     #11993583
  i had a payment related issue 11:03 pm m... [R]  Open      24 Mar, 26     #11988740
  i have a payment related issue 10:41 pm ...      Open      24 Mar, 26     #11988431
  i have a payment related issue 10:17 pm ...      Open      24 Mar, 26     #11988082
  i have a payment related issue 8:07 pm i...      Open      24 Mar, 26     #11986531
  i have a payment related issue 7:54 pm i...      Open      24 Mar, 26     #11986373
  i have a payment related issue 7:50 pm m...      Open      24 Mar, 26     #11986337
  i have a payment related issue 6:53 pm m...      Open      24 Mar, 26     #11985518
  i have a payment related issue 6:52 pm i...      Open      24 Mar, 26     #11985491
  i have a payment related issue 6:50 pm m...      Open      24 Mar, 26     #11985442
  i have a payment related issue 5:25 pm i... [R]  Open      24 Mar, 26     #11983653
  i have a payment related issue 5:21 pm 1... [R]  Open      24 Mar, 26     #11983559
  i have a payment related issue 7:45 pm i... [R]  Open      23 Mar, 26     #11970410
  i have a payment related issue 5:04 pm p...      Open      23 Mar, 26     #11967656
  i have a payment related issue 9:18 am i...      Open      23 Mar, 26     #11962719
  i had a payment related issue 2:23 am i ... [R]  Open      22 Mar, 26     #11959669
  i have a payment related issue 7:36 pm i...      Open      20 Mar, 26     #11954091
  i had a payment related issue 5:17 pm my... [R]  Open      19 Mar, 26     #11944964
  i have a payment related issue 11:58 am ...      Open      19 Mar, 26     #11944026
  i have a payment related issue 9:09 pm i...      Open      18 Mar, 26     #11941194
  i have a payment related issue 5:13 pm i...      Open      18 Mar, 26     #11938080
  i have a payment related issue 7:26 am i...      Open      18 Mar, 26     #11930928
  i have a payment related issue 8:46 am m...      Open      16 Mar, 26     #11910507
  app issue 1:40 pm main menu 1:44 pm i ha...      Open      10 Mar, 26     #11843489
  i have a payment related issue 5:43 pm i...      Open      03 Mar, 26     #11779381
  i have a payment related issue 8:20 am i...      Open      25 Feb, 26     #11727358

  Ticket IDs:
  #12009450   #12009405   #12009075   #12009071   #12008814   #12008806   #12008429   #12008396
  #12007973   #12007376   #12007118   #12007088   #12006914   #12006603   #12005595   #12005243
  #12004310   #12003637   #12003585   #12003375   #12002602   #12002489   #12002160   #12001931
  #12001625   #12001424   #12001115   #12001069   #12000732   #12000710   #12000385   #12000046
  #11999477   #11998080   #11996147   #11994953   #11993583   #11988740   #11988431   #11988082
  #11986531   #11986373   #11986337   #11985518   #11985491   #11985442   #11983653   #11983559
  #11970410   #11967656   #11962719   #11959669   #11954091   #11944964   #11944026   #11941194
