Total open tickets fetched: 1454

========================================================================
  CORRECTED OPEN TICKET BREAKDOWN  (Total: 1454, last 30 days)
  Classified using CUSTOMER messages only — not Sage menu display text
========================================================================
  Category                             Action       Total  Repeated
  ----------------------------------------------------------------
  Lost and Found                       MANUAL          57        36
  Driver Behaviour Issue               MANUAL          93        82
  Payment / Refund / Invoice           REVIEW          62        15
  Reschedule / Cancellation            REVIEW          21         7
  App / Booking Issue                  REVIEW          85        26
  Other / Unclear                      REVIEW          29         1
  AC Issue                             AUTO-CLOSE      64        43
  Seat / Hardware Issue                AUTO-CLOSE      88        71
  Bus Quality / Hygiene                AUTO-CLOSE     193       156
  Tracking Issue                       AUTO-CLOSE      87        49
  Route / Timing Suggestion            AUTO-CLOSE     237        50
  No Issue Stated (Dropped Off)        AUTO-CLOSE     438       116
  ----------------------------------------------------------------
  TOTAL                                              1454

  AUTO-CLOSE now  : 1107 tickets (76.1%)
  REVIEW needed   : 197 tickets (13.5%)
  MANUAL required : 150 tickets (10.3%)
========================================================================

  suggestions: route, timing, stop 6:04 pm...      Open      19 Mar, 26     #11945217
  suggestions: route, timing, stop 2:28 pm...      Open      19 Mar, 26     #11944366
  suggestions: route, timing, stop 8:36 am... [R]  Open      19 Mar, 26     #11943370
  suggestions: route, timing, stop 2:07 pm...      Open      19 Mar, 26     #11943013
  suggestions: route, timing, stop 11:21 p... [R]  Open      18 Mar, 26     #11942012
  suggestions: route, timing, stop 8:59 pm...      Open      18 Mar, 26     #11941135
  suggestions: route, timing, stop 7:24 pm... [R]  Open      18 Mar, 26     #11940283
  suggestions: route, timing, stop 11:28 a...      Open      18 Mar, 26     #11934611
  suggestions: route, timing, stop 9:43 am... [R]  Open      18 Mar, 26     #11933774
  suggestions: route, timing, stop 7:33 am...      Open      18 Mar, 26     #11931139
  suggestions: route, timing, stop 9:24 am... [R]  Open      17 Mar, 26     #11917695
  suggestions: route, timing, stop 8:59 am...      Open      17 Mar, 26     #11917436
  suggestions: route, timing, stop 7:42 am... [R]  Open      17 Mar, 26     #11915540
  suggestions: route, timing, stop 7:33 pm...      Open      16 Mar, 26     #11909602
  suggestions: route, timing, stop 1:01 pm... [R]  Open      16 Mar, 26     #11903878
  suggestions: route, timing, stop 11:54 a... [R]  Open      16 Mar, 26     #11903454
  suggestions: route, timing, stop 9:17 am... [R]  Open      16 Mar, 26     #11901870
  suggestions: route, timing, stop 4:37 pm...      Open      12 Mar, 26     #11876104
  suggestions: route, timing, stop 7:13 pm... [R]  Open      11 Mar, 26     #11864197
  suggestions: route, timing, stop 6:43 pm...      Open      11 Mar, 26     #11863729
  suggestions: route, timing, stop 8:16 am...      Open      11 Mar, 26     #11856006
  suggestions: route, timing, stop 3:10 pm...      Open      10 Mar, 26     #11844398
  main menu 2:37 am suggestions: route, ti...      Open      09 Mar, 26     #11837241
  suggestions: route, timing, stop 11:05 p... [R]  Open      09 Mar, 26     #11836267
  suggestions: route, timing, stop 8:49 pm...      Open      09 Mar, 26     #11834149
  suggestions: route, timing, stop 6:29 pm...      Open      09 Mar, 26     #11832720
  suggestions: route, timing, stop 8:21 pm...      Open      07 Mar, 26     #11819590
  suggestions: route, timing, stop 1:08 pm...      Open      05 Mar, 26     #11798971
  suggestions: route, timing, stop 6:04 pm... [R]  Open      04 Mar, 26     #11789247
  suggestions: route, timing, stop 11:29 p...      Open      03 Mar, 26     #11781819
  suggestions: route, timing, stop 10:13 p... [R]  Open      24 Feb, 26     #11720584
  suggestions: route, timing, stop 2:22 pm...      Open      24 Feb, 26     #11713770

  Ticket IDs:
  #12009606   #12009519   #12009517   #12009504   #12009476   #12009427   #12009359   #12009284
  #12009207   #12009178   #12009170   #12009079   #12008952   #12008927   #12008919   #12008909
  #12008872   #12008842   #12008803   #12008764   #12008762   #12008685   #12008676   #12008661
  #12008644   #12008637   #12008592   #12008518   #12008492   #12008481   #12008420   #12008361
  #12008335   #12008208   #12008140   #12008102   #12008083   #12008055   #12007814   #12007803
  #12007787   #12007689   #12007683   #12007469   #12007431   #12007392   #12007249   #12007243
  #12006816   #12006806   #12006645   #12006510   #12006406   #12006252   #12005959   #12005957
  #12005906   #12005586   #12005529   #12005241   #12005089   #12004981   #12004955   #12004949
  #12004862   #12004784   #12004582   #12004570   #12004566   #12004530   #12004476   #12004459
  #12004429   #12004428   #12004427   #12004110   #12003797   #12003740   #12003734   #12003705
  #12003569   #12003453   #12003451   #12003440   #12003355   #12003349   #12003309   #12003215
  #12003075   #12002983   #12002822   #12002807   #12002800   #12002674   #12002559   #12002549
  #12002483   #12002477   #12002219   #12002096   #12001857   #12001853   #12001802   #12001786
  #12001751   #12001678   #12001634   #12001550   #12001542   #12001451   #12001432   #12001400
  #12001328   #12001194   #12001019   #12000771   #12000515   #12000514   #12000435   #12000405
  #12000184   #12000020   #11999894   #11999808   #11999767   #11999586   #11999499   #11999475
  #11999448   #11999367   #11999360   #11999182   #11998843   #11998308   #11998296   #11998116
  #11998087   #11998047   #11997912   #11996950   #11996762   #11996729   #11996491   #11996260
  #11995934   #11994877   #11994141   #11994067   #11994061   #11993878   #11993782   #11993668
  #11993578   #11993493   #11992318   #11992286   #11990355   #11989945   #11989328   #11988982
  #11988956   #11988906   #11988826   #11988254   #11988216   #11988196   #11988095   #11987660
  #11987526   #11987302   #11987276   #11987199   #11987174   #11987015   #11986666   #11986214
  #11986037   #11985993   #11984915   #11984334   #11981066   #11979514   #11979219   #11978041
  #11976988   #11975355   #11972069   #11968731   #11965849   #11965465   #11964381   #11963781
  #11963623   #11963291   #11961313   #11961091   #11960911   #11960650   #11955312   #11954256
  #11953966   #11953822   #11953538   #11953244   #11949390   #11945217   #11944366   #11943370
  #11943013   #11942012   #11941135   #11940283   #11934611   #11933774   #11931139   #11917695
  #11917436   #11915540   #11909602   #11903878   #11903454   #11901870   #11876104   #11864197
  #11863729   #11856006   #11844398   #11837241   #11836267   #11834149   #11832720   #11819590
  #11798971   #11789247   #11781819   #11720584   #11713770

========================================================================
  NO ISSUE STATED (DROPPED OFF)  [AUTO-CLOSE]  --  438 tickets
========================================================================
  Title / Customer Message                    Status    Date           Ticket ID
  ------------------------------------------------------------------------
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12009605
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12009599
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12009593
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12009560
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12009553
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12009479
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12009477
  No Issue Stated (Dropped Off)              [R]  Open      26 Mar, 26     #12009412
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12009406
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12009390
  No Issue Stated (Dropped Off)              [R]  Open      26 Mar, 26     #12009376
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12009365
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12009331
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12009325
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12009311
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12009228
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12009203
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12009146
  No Issue Stated (Dropped Off)              [R]  Open      26 Mar, 26     #12009123
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12009121
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12009031
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12008960
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12008953
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12008942
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12008877
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12008848
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12008847
  9:50 am                                         Open      26 Mar, 26     #12008823
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12008805
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12008749
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12008742
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12008737
  No Issue Stated (Dropped Off)              [R]  Open      26 Mar, 26     #12008711
  No Issue Stated (Dropped Off)              [R]  Open      26 Mar, 26     #12008689
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12008663
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12008660
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12008642
  No Issue Stated (Dropped Off)              [R]  Open      26 Mar, 26     #12008510
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12008509
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12008422
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12008315
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12008314
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12008105
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12008075
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12007960
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12007939
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12007799
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12007670
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12007625
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12007621
  No Issue Stated (Dropped Off)              [R]  Open      26 Mar, 26     #12007519
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12007495
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12007485
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12007374
  No Issue Stated (Dropped Off)              [R]  Open      26 Mar, 26     #12007330
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12007276
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12007260
  No Issue Stated (Dropped Off)              [R]  Open      26 Mar, 26     #12007213
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12007205
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12007155
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12007052
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12007049
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12007037
  No Issue Stated (Dropped Off)              [R]  Open      26 Mar, 26     #12007021
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12006907
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12006804
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12006777
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12006744
  No Issue Stated (Dropped Off)              [R]  Open      26 Mar, 26     #12006708
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12006683
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12006680
  No Issue Stated (Dropped Off)              [R]  Open      26 Mar, 26     #12006509
  No Issue Stated (Dropped Off)              [R]  Open      26 Mar, 26     #12006250
  No Issue Stated (Dropped Off)              [R]  Open      26 Mar, 26     #12006025
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12005844
  No Issue Stated (Dropped Off)              [R]  Open      26 Mar, 26     #12005730
  No Issue Stated (Dropped Off)                   Open      26 Mar, 26     #12005727
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12005256
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12005076
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12005009
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12004993
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12004953
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12004950
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12004741
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12004686
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12004605
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12004492
  10:56 pm                                        Open      25 Mar, 26     #12004387
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12004261
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12004228
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12004195
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12004182
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12004154
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12004151
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12004089
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12004012
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12003862
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12003728
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12003713
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12003642
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12003584
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12003566
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12003561
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12003478
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12003456
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12003452
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12003432
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12003396
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12003272
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12003220
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12003126
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12003014
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12002981
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12002948
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12002908
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12002869
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12002847
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12002833
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12002762
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12002722
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12002673
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12002650
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12002537
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12002495
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12002471
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12002414
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12002272
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12002268
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12002225
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12002215
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12002192
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12002184
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12001999
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12001778
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12001703
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12001607
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12001594
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12001479
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12001478
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12001475
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12001473
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12001223
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12001127
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12001054
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12001053
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12000645
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12000551
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12000450
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12000213
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12000191
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #12000170
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #12000104
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11999946
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11999705
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11999639
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11999572
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11999496
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11999386
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11999270
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11999247
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11999236
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11999227
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11999080
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11998739
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11998737
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11998655
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11998549
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11998393
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11998386
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11998132
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11997856
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11997831
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11997811
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11997788
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11997754
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11997596
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11997283
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11996991
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11996906
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11996844
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11996767
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11996677
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11996571
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11996481
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11996464
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11996158
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11995826
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11995643
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11995601
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11995419
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11995226
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11995192
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11995096
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11995032
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11995023
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11994998
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11994956
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11994864
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11994669
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11994488
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11994285
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11994097
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11993848
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11993762
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11993603
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11993376
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11993263
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11993003
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11992996
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11992961
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11992765
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11992691
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11992659
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11992646
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11992631
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11992541
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11992496
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11992485
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11992414
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11992348
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11992124
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11991983
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11991966
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11991954
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11991932
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11991729
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11991714
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11991605
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11991453
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11991183
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11990589
  No Issue Stated (Dropped Off)              [R]  Open      25 Mar, 26     #11990392
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11990342
  No Issue Stated (Dropped Off)                   Open      25 Mar, 26     #11990115
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11989829
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11989402
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11989121
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11989091
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11988919
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11988694
  No Issue Stated (Dropped Off)              [R]  Open      24 Mar, 26     #11988157
  No Issue Stated (Dropped Off)              [R]  Open      24 Mar, 26     #11987968
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11987895
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11987500
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11987370
  No Issue Stated (Dropped Off)              [R]  Open      24 Mar, 26     #11987335
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11987173
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11987165
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11987123
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11986991
  No Issue Stated (Dropped Off)              [R]  Open      24 Mar, 26     #11986873
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11986872
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11986553
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11986381
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11986321
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11986221
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11986103
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11986083
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11985942
  6:51 pm                                         Open      24 Mar, 26     #11985450
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11985118
  No Issue Stated (Dropped Off)              [R]  Open      24 Mar, 26     #11984725
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11984512
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11984441
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11984375
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11984344
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11984020
  No Issue Stated (Dropped Off)              [R]  Open      24 Mar, 26     #11983757
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11983641
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11982834
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11982507
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11982170
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11982066
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11981754
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11981406
  No Issue Stated (Dropped Off)              [R]  Open      24 Mar, 26     #11981181
  No Issue Stated (Dropped Off)              [R]  Open      24 Mar, 26     #11980711
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11980289
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11980179
  No Issue Stated (Dropped Off)              [R]  Open      24 Mar, 26     #11980099
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11980073
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11979752
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11979695
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11979200
  No Issue Stated (Dropped Off)              [R]  Open      24 Mar, 26     #11979181
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11979104
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11979085
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11979056
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11978971
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11978952
  No Issue Stated (Dropped Off)              [R]  Open      24 Mar, 26     #11978930
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11978621
  No Issue Stated (Dropped Off)              [R]  Open      24 Mar, 26     #11978404
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11978316
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11978227
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11977917
  No Issue Stated (Dropped Off)              [R]  Open      24 Mar, 26     #11977832
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11977696
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11977536
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11977520
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11976805
  No Issue Stated (Dropped Off)              [R]  Open      24 Mar, 26     #11976561
  No Issue Stated (Dropped Off)                   Open      24 Mar, 26     #11976544
